"","gbifid_","family_","genus_","species_","infraspecificepithet_","taxonrank_","scientificname_","verbatimscientificname_","province_","count_","latitude_","longitude_","date_"
"882",658078535,"Melittidae","Hesperapis","Hesperapis sp.","","GENUS","Hesperapis Cockerell, 1898","Hesperapis dispar","New Mexico",NA,31.661944,-108.837778,1999-09-20
"883",658078581,"Halictidae","Halictus","Halictus sp.","","GENUS","Halictus Latreille, 1804","Halictus (Halictus)","New Mexico",NA,32.837222,-107.93,1999-09-28
"884",3017536496,"Megachilidae","Megachile","Megachile sp.","","GENUS","Megachile Latreille, 1802","Megachile Latreille, 1802","",NA,26.4205,-81.4222,2000-03-18
"885",2249084262,"Halictidae","Lasioglossum","Lasioglossum sp.","","UNRANKED","BOLD:AAA3781","BOLD:AAA3781","Indiana",NA,NA,NA,2000-04-14
"886",1292026607,"Halictidae","Evylaeus","Evylaeus sp.","","GENUS","Evylaeus Robertson, 1902","Evylaeus sweuti","Utah",NA,38.104444,-109.7625,2000-04-22
"887",1292026546,"Halictidae","Dialictus","Dialictus sp.","","GENUS","Dialictus Robertson, 1902","Dialictus hyalinus","Utah",NA,38.104444,-109.7625,2000-04-23
"888",1292026661,"Halictidae","Dialictus","Dialictus sp.","","GENUS","Dialictus Robertson, 1902","Dialictus petrellus","Utah",NA,38.104444,-109.7625,2000-04-23
"889",1292026552,"Halictidae","Dialictus","Dialictus sp.","","GENUS","Dialictus Robertson, 1902","Dialictus hudsoniellus","Utah",NA,38.055833,-109.771944,2000-04-23
"890",1292026426,"Halictidae","Dialictus","Dialictus sp.","","GENUS","Dialictus Robertson, 1902","Dialictus nevadensis","Utah",NA,38.055833,-109.771944,2000-04-23
"891",1292026584,"Halictidae","Dialictus","Dialictus sp.","","GENUS","Dialictus Robertson, 1902","Dialictus ruidoseusis","Utah",NA,38.085556,-109.765556,2000-04-24
"892",1292026514,"Halictidae","Dialictus","Dialictus sp.","","GENUS","Dialictus Robertson, 1902","Dialictus albohirtum","Utah",NA,38.104444,-109.7625,2000-04-25
"893",3421523493,"Melittidae","Hesperapis","Hesperapis sp.","","GENUS","Hesperapis Cockerell, 1898","Hesperapis paiute","Utah",1,37.5368,-111.1905,2000-04-28
"894",3421453099,"Colletidae","Hylaeus","Hylaeus sp.","","GENUS","Hylaeus Fabricius, 1793","Hylaeus pokoae","Utah",1,37.484,-111.2212,2000-05-01
"895",3421508701,"Andrenidae","Perdita","Perdita sp.","","GENUS","Perdita Smith, 1853","Perdita elongaticeps","Utah",1,37.5308,-111.1773,2000-05-03
"896",2249089156,"Halictidae","Lasioglossum","Lasioglossum sp.","","UNRANKED","BOLD:AAD7708","BOLD:AAD7708","Texas",NA,29.2874,-94.8112,2000-05-12
